#[ 全船船体网格数 ]
 4287
    51.75000     2.63022     1.20103    51.75000     3.25812     1.55690    51.00000     3.27019     1.55353    51.00000     2.64079     1.20027
    51.75000     3.25812     1.55690    51.75000     3.82685     2.00001    51.00000     3.84095     1.99402    51.00000     3.27019     1.55353
    51.75000     3.82685     2.00001    51.75000     4.28436     2.55682    51.00000     4.29721     2.55175    51.00000     3.84095     1.99402
    51.75000     4.28436     2.55682    51.75000     4.62643     3.19172    51.00000     4.63433     3.18923    51.00000     4.29721     2.55175
    51.75000     4.62643     3.19172    51.75000     4.87441     3.86930    51.00000     4.87716     3.86866    51.00000     4.63433     3.18923
    51.75000     4.87441     3.86930    51.75000     5.04902     4.56967    51.00000     5.04968     4.56960    51.00000     4.87716     3.86866
    51.75000     5.04902     4.56967    51.75000     5.16558     5.28211    51.00000     5.16646     5.28207    51.00000     5.04968     4.56960
    51.75000     5.16558     5.28211    51.75000     5.23969     6.00029    51.00000     5.24061     6.00029    51.00000     5.16646     5.28207
    51.00000     0.00014     0.04740    51.00000     0.66774     0.30853    50.25000     0.67063     0.32522    50.25000     0.00014     0.07096
    51.00000     0.66774     0.30853    51.00000     1.32798     0.59967    50.25000     1.33427     0.60841    50.25000     0.67063     0.32522
    51.00000     1.32798     0.59967    51.00000     1.98773     0.89247    50.25000     1.99664     0.89521    50.25000     1.33427     0.60841
    51.00000     1.98773     0.89247    51.00000     2.64079     1.20027    50.25000     2.65136     1.19950    50.25000     1.99664     0.89521
    51.00000     2.64079     1.20027    51.00000     3.27019     1.55353    50.25000     3.28226     1.55017    50.25000     2.65136     1.19950
    51.00000     3.27019     1.55353    51.00000     3.84095     1.99402    50.25000     3.85506     1.98802    50.25000     3.28226     1.55017
    51.00000     3.84095     1.99402    51.00000     4.29721     2.55175    50.25000     4.31006     2.54668    50.25000     3.85506     1.98802
    51.00000     4.29721     2.55175    51.00000     4.63433     3.18923    50.25000     4.64222     3.18673    50.25000     4.31006     2.54668
    51.00000     4.63433     3.18923    51.00000     4.87716     3.86866    50.25000     4.87991     3.86801    50.25000     4.64222     3.18673
