time,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate
5.339999999999908,0.0,0.0,-0.006819634501677403,0.0,0.03871346290883478,0.0,0.0,0.0,0.01605507868874768,0.0,-0.0008377040035846407,0.0
5.344999999999908,0.0,0.0,-0.006741499686184749,0.0,0.03870953797818873,0.0,0.0,0.0,0.01519892721195529,0.0,-0.0007323417165055227,0.0
5.349999999999908,0.0,0.0,-0.006668167614152894,0.0,0.03870616844094435,0.0,0.0,0.0,0.0141342216545918,0.0,-0.0006155625634257476,0.0
5.354999999999908,0.0,0.0,-0.006600655490051855,0.0,0.03870340579367195,0.0,0.0,0.0,0.01287118755112232,0.0,-0.0004895998269898942,0.0
5.359999999999908,0.0,0.0,-0.006539916296289537,0.0,0.03870129026559857,0.0,0.0,0.0,0.01142528431356335,0.0,-0.0003567269828378152,0.0
5.364999999999908,0.0,0.0,-0.006486818749945571,0.0,0.03869985038682967,0.0,0.0,0.0,0.009814754587441256,0.0,-0.0002193500392830897,0.0
5.369999999999908,0.0,0.0,-0.006442134731938574,0.0,0.03869910242675511,0.0,0.0,0.0,0.008060087146611213,0.0,-7.99670891729975e-05,0.0
5.374999999999908,0.0,0.0,-0.006406527166031174,0.0,0.03869905014517157,0.0,0.0,0.0,0.006184372773493797,0.0,5.891621471651893e-05,0.0
5.379999999999908,0.0,0.0,-0.0063805398037354,0.0,0.03869968486046965,0.0,0.0,0.0,0.004212186139121106,0.0,0.0001948288451017778,0.0
5.384999999999907,0.0,0.0,-0.006364590346284121,0.0,0.03870098551580699,0.0,0.0,0.0,0.002169373064357715,0.0,0.0003252922742823262,0.0
5.389999999999907,0.0,0.0,-0.006358964644718204,0.0,0.03870291886682785,0.0,0.0,0.0,8.282310423943733e-05,0.0,0.000447909590468169,0.0
5.394999999999907,0.0,0.0,-0.006363814280598094,0.0,0.03870543977508231,0.0,0.0,0.0,-0.002020645682862584,0.0,0.0005603202898704295,0.0
5.399999999999907,0.0,0.0,-0.006379155655134664,0.0,0.0387084916412022,0.0,0.0,0.0,-0.004113780978699972,0.0,0.000660300404473077,0.0
5.404999999999907,0.0,0.0,-0.006404869020958919,0.0,0.03871200728649094,0.0,0.0,0.0,-0.00616937686596942,0.0,0.0007458420393828028,0.0
5.409999999999907,0.0,0.0,-0.006440699584072866,0.0,0.03871590999396907,0.0,0.0,0.0,-0.008160621536457562,0.0,0.0008151376504687338,0.0
5.414999999999907,0.0,0.0,-0.006486251992822581,0.0,0.0387201142489126,0.0,0.0,0.0,-0.01005810649947887,0.0,0.0008664755387957717,0.0
5.419999999999907,0.0,0.0,-0.006540986909261812,0.0,0.03872452501665262,0.0,0.0,0.0,-0.0118336465204266,0.0,0.0008977598834536208,0.0
5.424999999999907,0.0,0.0,-0.006604226984110044,0.0,0.0387290371112523,0.0,0.0,0.0,-0.01346022311503732,0.0,0.000907026148929094,0.0
5.429999999999906,0.0,0.0,-0.006675172640651109,0.0,0.03873353628742422,0.0,0.0,0.0,-0.01491596062673865,0.0,0.0008926151060222291,0.0
5.434999999999906,0.0,0.0,-0.0067529290501195,0.0,0.0387379022954262,0.0,0.0,0.0,-0.01618463184111257,0.0,0.0008537837715267429,0.0
5.439999999999906,0.0,0.0,-0.00683653273543892,0.0,0.03874201326933688,0.0,0.0,0.0,-0.01725499919140224,0.0,0.0007906276995536479,0.0
5.444999999999906,0.0,0.0,-0.006924976843810326,0.0,0.03874574941515543,0.0,0.0,0.0,-0.01812094569147302,0.0,0.0007038794896233054,0.0
5.449999999999906,0.0,0.0,-0.007017232148989457,0.0,0.03874899577176151,0.0,0.0,0.0,-0.01877963516989713,0.0,0.00059473909448846,0.0
5.454999999999906,0.0,0.0,-0.007112262078053047,0.0,0.03875164423703791,0.0,0.0,0.0,-0.01923096417757163,0.0,0.0004647498879003843,0.0
5.459999999999906,0.0,0.0,-0.007209036367072396,0.0,0.03875359528794514,0.0,0.0,0.0,-0.01947755291068005,0.0,0.0003157992971885754,0.0
5.464999999999906,0.0,0.0,-0.007306536528319601,0.0,0.03875475884711372,0.0,0.0,0.0,-0.01952149281692123,0.0,0.0001497781367529344,0.0
