time,load_ID,sail_enable,surge,sway,heave,roll,pitch,yaw,surge_rate,sway_rate,heave_rate,roll_rate,pitch_rate,yaw_rate,V_CG_BODY_X,V_CG_BODY_Y,V_CG_BODY_Z,OMEGA_BODY_X,OMEGA_BODY_Y,OMEGA_BODY_Z,V_WIND_BODY_X,V_WIND_BODY_Y,V_WIND_BODY_Z,V_REL_BODY_X,V_REL_BODY_Y,V_REL_BODY_Z,V_REL_H_MAG,E_UPSTREAM_X,E_UPSTREAM_Y,E_UPSTREAM_Z,C_CHORD_X,C_CHORD_Y,C_CHORD_Z,ALPHA_RAW_DEG,ALPHA_DB_DEG,CL,CD,Q_DYNAMIC,Fx,Fy,Fz,Mx,My,Mz,FX_PLANNING,FY_PLANNING,FZ_PLANNING,MX_PLANNING,MY_PLANNING,MZ_PLANNING,case
0.11,1,T,0.0,0.0,0.004834145896046436,0.0,0.002913878002373511,0.0,0.0,0.0,0.0812780582979127,0.0,0.05050649425363829,0.0,32.07761131709328,0.0,0.1747489138809322,0.0,0.05050649425363829,0.0,0.0,10.0,0.0,-32.33014378836147,10.0,-0.1747489138809322,33.84136813688429,0.9553438755073348,-0.2954963274401671,0.0,0.0,-1.0,0.0,72.81269828367037,72.81269828367037,-0.4024167282139869,1.221026095283176,701.4583958928781,-13524.95051008035,-248.7122086135889,0.0,1243.561043067945,-67624.75255040177,0.0,-13524.89309207368,-248.7122086135889,39.4100000048089,1243.555763729125,-67624.75255040177,-3.623580040219806,dt_005
0.115,1,T,0.0,0.0,0.005246445982643578,0.0,0.003171138809899718,0.0,0.0,0.0,0.08360866492103063,0.0,0.05239279391763139,0.0,32.0775579088841,0.0,0.185331815102834,0.0,0.05239279391763139,0.0,0.0,10.0,0.0,-32.33952187847226,10.0,-0.185331815102834,33.85032755126878,0.955368063410663,-0.2954181162605967,0.0,0.0,-1.0,0.0,72.81738886041964,72.81738886041964,-0.4023360119859591,1.221165945255798,701.829863638514,-13533.24795791688,-248.7049933100313,0.0,1243.524966550157,-67666.23978958442,0.0,-13533.17991198203,-248.7049933100313,42.91573589562061,1243.518714036413,-67666.23978958442,-3.943383673307904,dt_005
0.12,1,T,0.0,0.0,0.005669911259257723,0.0,0.00343775398744668,0.0,0.0,0.0,0.08578293658084009,0.0,0.05424341708030647,0.0,32.07749988191857,0.0,0.1960584310235158,0.0,0.05424341708030647,0.0,0.0,10.0,0.0,-32.3487169673201,10.0,-0.1960584310235158,33.8591123544576,0.9553917606780188,-0.2953414695374755,0.0,0.0,-1.0,0.0,72.82198549647053,72.82198549647053,-0.4022569123051571,1.221302994377949,702.1941872769673,-13541.38620223914,-248.6980665161977,0.0,1243.490332580989,-67706.93101119572,0.0,-13541.3061852345,-248.6980665161977,46.55186271934135,1243.482984709048,-67706.93101119572,-4.274805429119686,dt_005
0.125,1,T,0.0,0.0,0.006104271437504988,0.0,0.003713483820172135,0.0,0.0,0.0,0.08795161198560181,0.0,0.05604040273802986,0.0,32.07743655006126,0.0,0.2070718075870769,0.0,0.05604040273802986,0.0,0.0,10.0,0.0,-32.35763856375141,10.0,-0.2070718075870769,33.86763607667905,0.9554147354864424,-0.295267138732659,0.0,0.0,-1.0,0.0,72.8264431340285,72.8264431340285,-0.4021802045336343,1.221435899247385,702.547773721203,-13549.28495337448,-248.6914855571243,0.0,1243.457427785622,-67746.42476687241,0.0,-13549.19153141896,-248.6914855571243,50.31493480889799,1243.448854180084,-67746.42476687241,-4.617548426501407,dt_005
0.13,1,T,0.0,0.0,0.006549355779243361,0.0,0.003998076693722509,0.0,0.0,0.0,0.0900582780947775,0.0,0.05779077922496641,0.0,32.07736789728551,0.0,0.2183074581941358,0.0,0.05779077922496641,0.0,0.0,10.0,0.0,-32.36632179341034,10.0,-0.2183074581941358,33.8759322592691,0.9554370798032958,-0.2951948280999355,0.0,0.0,-1.0,0.0,72.8307795184973,72.8307795184973,-0.4021055833055189,1.221565188944933,702.8920066911858,-13556.9750921697,-248.6852126682865,0.0,1243.426063341433,-67784.87546084849,0.0,-13556.86674078508,-248.6852126682865,54.20168175425476,1243.41612550982,-67784.87546084849,-4.971299520134468,dt_005
0.135,1,T,0.0,0.0,0.007004607068646711,0.0,0.004291331159640606,0.0,0.0,0.0,0.09203967082112764,0.0,0.05950152136326287,0.0,32.07729399556547,0.0,0.2296956545452483,0.0,0.05950152136326287,0.0,0.0,10.0,0.0,-32.37480160238179,10.0,-0.2296956545452483,33.88403427565234,0.9554588848248502,-0.2951242440214855,0.0,0.0,-1.0,0.0,72.83501226572061,72.83501226572061,-0.4020327454844314,1.221691388688576,703.2282645110695,-13564.48738508048,-248.6792126458271,0.0,1243.396063229136,-67822.43692540238,0.0,-13564.36248670661,-248.6792126458271,58.20952871994358,1243.384614352229,-67822.43692540238,-5.335807892925527,dt_005
0.14,1,T,0.0,0.0,0.007469568309866048,0.0,0.004593022610098463,0.0,0.0,0.0,0.09392277057011136,0.0,0.06116855454393931,0.0,32.07721458946077,0.0,0.2412561691837592,0.0,0.06116855454393931,0.0,0.0,10.0,0.0,-32.38305736218047,10.0,-0.2412561691837592,33.8919224022815,0.9554800987034168,-0.2950555557546901,0.0,0.0,-1.0,0.0,72.83913123322472,72.83913123322472,-0.4019618656037531,1.221814196079537,703.5557225248908,-13571.80338481576,-248.673490695149,0.0,1243.367453475745,-67859.01692407881,0.0,-13571.66023065776,-248.673490695149,62.33538063602073,1243.354338547991,-67859.01692407881,-5.710794747407292,dt_005
0.145,1,T,0.0,0.0,0.00794383997455423,0.0,0.0049029177306794,0.0,0.0,0.0,0.0957815403978484,0.0,0.06278046584995345,0.0,32.07712917172588,0.0,0.2530554772099048,0.0,0.06278046584995345,0.0,0.0,10.0,0.0,-32.39103150097564,10.0,-0.2530554772099048,33.89954161485368,0.955500574874527,-0.2949892394892539,0.0,0.0,-1.0,0.0,72.84310787430076,72.84310787430076,-0.4018934349000176,1.221932759995094,703.8720895395329,-13578.87187469459,-248.6680759166054,0.0,1243.340379583027,-67894.35937347294,0.0,-13578.70866647137,-248.6680759166054,66.57582494468639,1243.325435530526,-67894.35937347294,-6.095971169154384,dt_005
0.15,1,T,0.0,0.0,0.00842723538284487,0.0,0.005220748907683754,0.0,0.0,0.0,0.09757877985399337,0.0,0.06434185845306066,0.0,32.0770377397516,0.0,0.2650477909396444,0.0,0.06434185845306066,0.0,0.0,10.0,0.0,-32.3987470320169,10.0,-0.2650477909396444,33.90691388558717,0.9555203738488468,-0.2949251009320169,0.0,0.0,-1.0,0.0,72.8469538485009,72.8469538485009,-0.4018272527337037,1.222047428065855,704.178270662332,-13585.71304897612,-248.6629414980069,0.0,1243.314707490034,-67928.56524488058,0.0,-13585.52790181052,-248.6629414980069,70.92727435796672,1243.297763499446,-67928.56524488058,-6.4910044142355,dt_005
0.1550000000000001,1,T,0.0,0.0,0.008919446939637681,0.0,0.005546263499010994,0.0,0.0,0.0,0.0993010841337665,0.0,0.0658551250047127,0.0,32.07694021108797,0.0,0.2772115983337989,0.0,0.0658551250047127,0.0,0.0,10.0,0.0,-32.40621583611153,10.0,-0.2772115983337989,33.91405055160244,0.9555395273945044,-0.294863038692012,0.0,0.0,-1.0,0.0,72.85067524354022,72.85067524354022,-0.4017632143463942,1.222158381797599,704.4747302001955,-13592.33725635492,-248.6580694134239,0.0,1243.290347067119,-67961.68628177462,0.0,-13592.12819968396,-248.6580694134239,75.38629749631112,1243.271224664835,-67961.68628177462,-6.895580517947558,dt_005
