    -0.00001    -1.00000     0.00164    -4.64398    -0.08515   -51.82872     8.55521
    -0.00003    -1.00000     0.00163    -7.50319    -0.08412   -51.84956     8.55377
    -0.00001    -1.00000     0.00165    -3.07310    -0.09024   -54.80998     0.72686
    -0.00001    -1.00000     0.00164    -4.62413    -0.09007   -54.82140     8.55739
    -0.00001    -1.00000     0.00164    -7.48318    -0.09007   -54.84237     8.55736
    -0.00004    -1.00000     0.00166    -3.06282    -0.09581   -57.80179     0.66688
    -0.00004    -1.00000     0.00164    -4.60429    -0.09481   -57.81306     8.55527
    -0.00004    -1.00000     0.00164    -7.46359    -0.09472   -57.83403     8.55525
    -0.00001    -1.00000     0.00168    -3.05248    -0.10183   -60.79498     0.60732
    -0.00001    -1.00000     0.00164    -4.58444    -0.09989   -60.80626     8.55886
    -0.00001    -1.00000     0.00164    -7.44399    -0.09989   -60.82724     8.55884
    -0.00001    -1.00000     0.00164    -3.04331    -0.10456   -63.78749     0.54736
    -0.00001    -1.00000     0.00164    -4.56459    -0.10480   -63.79869     8.55675
    -0.00003    -1.00000     0.00166    -7.42398    -0.10578   -63.81953     8.55811
    -0.00001    -1.00000     0.00163    -3.03364    -0.10856   -66.78004     0.48775
    -0.00003    -1.00000     0.00166    -4.54435    -0.11079   -66.79073     8.56036
    -0.00003    -1.00000     0.00166    -7.40439    -0.11075   -66.81196     8.55887
    -0.00225    -0.92328     0.38412    -0.56442    19.18286    46.10478     2.92304
    -0.00404    -0.67318     0.73947     9.11549    36.92469    33.66424     2.93136
    -0.00539    -0.37920     0.92530    15.48675    46.20686    19.02618     2.93861
    -0.00221    -0.92393     0.38255    -0.58921    17.95908    43.37165     2.92393
    -0.00405    -0.67401     0.73871     9.10275    34.67613    31.68914     2.93016
    -0.00543    -0.37774     0.92589    15.52480    43.46613    17.82413     2.93590
    -0.00219    -0.92464     0.38084    -0.61707    16.73932    40.63713     2.92502
    -0.00404    -0.67501     0.73779     9.08544    32.42536    29.71601     2.93112
    -0.00543    -0.37639     0.92644    15.56094    40.71944    16.63455     2.93660
    -0.00217    -0.92535     0.37910    -0.64606    15.52803    37.89927     2.92410
    -0.00402    -0.67599     0.73690     9.06896    30.18079    27.73546     2.93023
    -0.00544    -0.37505     0.92699    15.59692    37.96941    15.45335     2.93534
    -0.00216    -0.92607     0.37735    -0.67503    14.32718    35.15707     2.92515
    -0.00403    -0.67696     0.73601     9.05250    27.94180    25.74963     2.93132
    -0.00544    -0.37368     0.92754    15.63315    35.21630    14.27950     2.93619
    -0.00217    -0.92676     0.37564    -0.70278    13.13833    32.40990     2.92479
    -0.00402    -0.67796     0.73509     9.03521    25.70691    23.75836     2.93082
    -0.00545    -0.37231     0.92809    15.66939    32.45985    13.11353     2.93508
    -0.00214    -0.92745     0.37394    -0.73051    11.95946    29.65808     2.92494
    -0.00402    -0.67895     0.73417     9.01797    23.47772    21.76128     2.93082
    -0.00545    -0.37095     0.92864    15.70546    29.69999    11.95589     2.93595
    -0.00213    -0.92812     0.37227    -0.75703    10.79217    26.90182     2.92515
    -0.00401    -0.67995     0.73325     9.00074    21.25397    19.75815     2.93083
    -0.00546    -0.36958     0.92918    15.74145    26.93680    10.80642     2.93485
    -0.00212    -0.92882     0.37052    -0.78587     9.63254    24.14244     2.92527
    -0.00399    -0.68091     0.73235     8.98435    19.03622    17.74818     2.93096
    -0.00546    -0.36821     0.92973    15.77737    24.17030     9.66510     2.93573
    -0.00211    -0.92952     0.36877    -0.81466     8.48330    21.37850     2.92586
    -0.00400    -0.68188     0.73145     8.96793    16.82383    15.73274     2.93158
    -0.00546    -0.36686     0.93026    15.81285    21.40004     8.53218     2.93500
    -0.00211    -0.93020     0.36706    -0.84227     7.34563    18.61058     2.92507
    -0.00399    -0.68287     0.73053     8.95085    14.61646    13.71179     2.93061
    -0.00547    -0.36551     0.93079    15.84828    18.62694     7.40766     2.93477
    -0.00209    -0.93087     0.36534    -0.86985     6.21790    15.83785     2.92625
    -0.00399    -0.68386     0.72961     8.93378    12.41461    11.68496     2.93161
    -0.00547    -0.36414     0.93133    15.88387    15.85058     6.29077     2.93469
    -0.00207    -0.93152     0.36367    -0.89619     5.10109    13.06092     2.92601
    -0.00398    -0.68484     0.72868     8.91660    10.21799     9.65202     2.93115
    -0.00548    -0.36277     0.93186    15.91947    13.07107     5.18208     2.93461
    -0.00206    -0.93221     0.36192    -0.92487     3.99336    10.28065     2.92617
    -0.00395    -0.68583     0.72775     8.89952     8.02691     7.61287     2.93119
    -0.00548    -0.36138     0.93240    15.95542    10.28835     4.08119     2.93467
    -0.00205    -0.93289     0.36016    -0.95353     2.89614     7.49625     2.92635
    -0.00397    -0.68682     0.72682     8.88244     5.84183     5.56877     2.93123
    -0.00548    -0.35998     0.93294    15.99121     7.50246     2.98891     2.93474
    -0.00206    -0.93355     0.35844    -0.98098     1.80983     4.70804     2.92659
    -0.00396    -0.68780     0.72589     8.86535     3.66209     3.51831     2.93129
    -0.00549    -0.35861     0.93347    16.02655     4.71329     1.90496     2.93468
    -0.00203    -0.93421     0.35672    -1.00840     0.73348     1.91515     2.92683
    -0.00395    -0.68878     0.72496     8.84828     1.48789     1.46191     2.93134
    -0.00549    -0.35725     0.93399    16.06159     1.92084     0.82910     2.93448
    -0.00203    -0.93486     0.35500    -1.03578    -0.33228    -0.88096     2.92709
    -0.00395    -0.68976     0.72402     8.83122    -0.68070    -0.60032     2.93140
    -0.00550    -0.35589     0.93451    16.09651    -0.87483    -0.23846     2.93478
    -0.00199    -0.93553     0.35324    -1.06428    -1.38814    -3.68235     2.92778
    -0.00393    -0.69072     0.72311     8.81501    -2.84394    -2.66863     2.93158
    -0.00550    -0.35451     0.93504    16.13161    -3.67345    -1.29782     2.93376
    -0.00200    -0.93618     0.35152    -1.09151    -2.43329    -6.48650     2.92755
    -0.00394    -0.69167     0.72220     8.79878    -5.00163    -4.74224     2.93224
    -0.00551    -0.35313     0.93556    16.16663    -6.47519    -2.34895     2.93470
    -0.00200    -0.93682     0.34980    -1.11880    -3.46804    -9.29427     2.92784
    -0.00393    -0.69265     0.72126     8.78182    -7.15377    -6.82211     2.93182
    -0.00551    -0.35176     0.93608    16.20153    -9.28025    -3.39191     2.93419
    -0.00197    -0.93746     0.34808    -1.14604    -4.49279   -12.10657     2.92813
    -0.00393    -0.69362     0.72033     8.76492    -9.30009    -8.90753     2.93190
    -0.00552    -0.35038     0.93659    16.23638   -12.08815    -4.42649     2.93416
    -0.00198    -0.93810     0.34636    -1.17326    -5.50692   -14.92194     2.92844
    -0.00392    -0.69459     0.71939     8.74804   -11.44084   -10.99886     2.93198
    -0.00551    -0.34902     0.93710    16.27078   -14.89910    -5.45337     2.93401
    -0.00194    -0.93875     0.34459    -1.20161    -6.51033   -17.74246     2.92870
    -0.00390    -0.69554     0.71847     8.73192   -13.57646   -13.09573     2.93217
    -0.00552    -0.34765     0.93761    16.30517   -17.71291    -6.47167     2.93386
    -0.00196    -0.93940     0.34282    -1.22988    -7.50255   -20.56534     2.92896
    -0.00391    -0.69649     0.71755     8.71574   -15.70628   -15.19780     2.93239
    -0.00553    -0.34627     0.93812    16.33986   -20.52996    -7.48147     2.93385
    -0.00193    -0.94003     0.34110    -1.25699    -8.48574   -23.39272     2.92931
    -0.00390    -0.69746     0.71661     8.69883   -17.83015   -17.30638     2.93249
    -0.00553    -0.34488     0.93863    16.37438   -23.35000    -8.48311     2.93386
    -0.00192    -0.94063     0.33942    -1.28289    -9.45972   -26.22314     2.93019
    -0.00389    -0.69843     0.71567     8.68198   -19.94853   -19.42083     2.93308
    -0.00554    -0.34350     0.93914    16.40882   -26.17300    -9.47639     2.93387
    -0.00192    -0.94126     0.33769    -1.30992   -10.42203   -29.05704     2.92957
    -0.00387    -0.69942     0.71470     8.66430   -22.06037   -21.54196     2.93210
    -0.00553    -0.34210     0.93965    16.44350   -28.99925   -10.46104     2.93402
    -0.00188    -0.94189     0.33592    -1.33809   -11.37290   -31.89616     2.93087
    -0.00387    -0.70039     0.71375     8.64748   -24.16708   -23.66787     2.93321
    -0.00555    -0.34070     0.94016    16.47809   -31.82832   -11.43698     2.93418
    -0.00190    -0.94252     0.33414    -1.36625   -12.31259   -34.73777     2.93071
    -0.00387    -0.70133     0.71283     8.63143   -26.26900   -25.79855     2.93295
    -0.00554    -0.33932     0.94065    16.51213   -34.66042   -12.40584     2.93455
    -0.00187    -0.94313     0.33242    -1.39318   -13.24383   -37.58319     2.93109
    -0.00387    -0.70230     0.71188     8.61461   -28.36433   -27.93581     2.93308
    -0.00555    -0.33795     0.94115    16.54594   -37.49494   -13.36636     2.93347
    -0.00188    -0.94374     0.33069    -1.42006   -14.16440   -40.43141     2.93149
    -0.00386    -0.70326     0.71092     8.59781   -30.45394   -30.07884     2.93321
    -0.00556    -0.33657     0.94164    16.57995   -40.33264   -14.31809     2.93449
    -0.00185    -0.94434     0.32896    -1.44691   -15.07489   -43.28383     2.93190
    -0.00385    -0.70422     0.70998     8.58110   -32.53789   -32.22737     2.93335
    -0.00556    -0.33518     0.94214    16.61388   -43.17317   -15.26141     2.93355
    -0.00182    -0.94494     0.32723    -1.47372   -15.97505   -46.13997     2.93281
    -0.00383    -0.70515     0.70905     8.56531   -34.61776   -34.38081     2.93407
    -0.00556    -0.33380     0.94263    16.64764   -46.01659   -16.19679     2.93459
    -0.00184    -0.94556     0.32545    -1.50168   -16.86193   -48.99900     2.93220
    -0.00384    -0.70608     0.70812     8.54941   -36.69136   -36.53913     2.93334
    -0.00557    -0.33241     0.94312    16.68139   -48.86282   -17.12344     2.93367
    -0.00182    -0.94615     0.32372    -1.52841   -17.74113   -51.86175     2.93363
    -0.00383    -0.70704     0.70717     8.53268   -38.75812   -38.70473     2.93448
    -0.00557    -0.33101     0.94361    16.71514   -51.71203   -18.04161     2.93472
    -0.00182    -0.94674     0.32199    -1.55511   -18.60961   -54.72712     2.93309
    -0.00383    -0.70799     0.70621     8.51597   -40.81904   -40.87586     2.93366
    -0.00557    -0.32964     0.94409    16.74845   -54.56367   -18.95265     2.93367
    -0.00179    -0.94733     0.32025    -1.58172   -19.46810   -57.59652     2.93451
    -0.00382    -0.70895     0.70525     8.49920   -42.87404   -43.05287     2.93482
    -0.00558    -0.32827     0.94457    16.78160   -57.41788   -19.85551     2.93459
    -0.00178    -0.94793     0.31847    -1.60954   -20.31305   -60.47014     2.93444
    -0.00380    -0.70988     0.70431     8.48330   -44.92499   -45.23415     2.93413
    -0.00558    -0.32688     0.94505    16.81504   -60.27557   -20.74884     2.93418
    -0.00168    -0.94861     0.31643    -1.64351   -21.13053   -63.35487     2.93118
    -0.00380    -0.71124     0.70294     8.45456   -46.94089   -47.44919     2.93530
    -0.00568    -0.32576     0.94544    16.84403   -63.12837   -21.65013     2.93805
